app,hosts,bu,criticality,env
APP-1001,"[""HOST-C76C8CE09D55E56D"",""HOST-4B8683514DDBDEF5"",""HOST-E98A713697CFF0C1""]",Data Mgmt,High,PRD
APP-10073,"[""HOST-B04ABC6EAE2B69DF"",""HOST-01C982B56F0D50C8"",""HOST-73F9A94F049DCEB2"",""HOST-92B72A2C7B54EF85""]",null,null,PRD
APP-1013,"[""HOST-43A1F821E72130A6""]",Data Mgmt,High,PRD
APP-1016,"[""HOST-C84F1C8239A6E825""]",Underwriting Systems,High,PRD
APP-10213,"[""HOST-C3AEC92F5CC1C576"",""HOST-51363E583CA6E29D"",""HOST-15D2AA397B258968"",""HOST-8169D24BEA175D66""]",IT Infrastructure & Operations,Low,PRD
APP-1034,"[""HOST-0B5A352A6DCBF1D7""]",Underwriting Systems,Low,PRD
APP-1036,"[""HOST-ECAE576411A46A9E"",""HOST-9EF1A1E3F4F4360C"",""HOST-323D345498A9C577"",""HOST-DC6B54A06BCCE9CA"",""HOST-0AA53EEAF97EC6D9"",""HOST-65B7DC36DD799CDD"",""HOST-976A31ABF1ABCB4B"",""HOST-E2C01F57FC0E3DB5"",""HOST-F9B86F99911DDA4D""]",Adv Tech & Ent Sol,High,PRD
APP-10385,"[""HOST-A35925557F7A38B9"",""HOST-E0054BAED80F8177"",""HOST-93791F333B315406"",""HOST-619FE866960A2001""]",IT Infrastructure & Operations,Low,PRD
APP-1049,"[""HOST-90B5138D57DE0699"",""HOST-0D842CB71A109892"",""HOST-B728B776C262880E"",""HOST-C206BF28519A551F"",""HOST-022D690F1A3E7937"",""HOST-295E5C3F319E93E1"",""HOST-EA0D27AE59AF7F96"",""HOST-C610A1194A43C5C2"",""HOST-D93D08C5CEBC13A0"",""HOST-154595A326409239"",""HOST-92CB331115B81B39"",""HOST-D957B0C48DCD7ADA""]",Underwriting Systems,High,PRD
APP-1054,"[""HOST-BF37B1B2153D1BA4"",""HOST-9CAE676BC5025E9D"",""HOST-44A943CC5299200B"",""HOST-C71483857B956DF5"",""HOST-76658ACD61E638A8"",""HOST-444647B41E970B4A"",""HOST-4E93D2F6EDE547D9"",""HOST-45F244E1207DF915""]",Claims & SAP,High,PRD
