k8s.cluster.name,namespace,env,criticality
ClaimsConnect PRD 02 APP-4982,"[""CLOUD_APPLICATION_NAMESPACE-A454DC7A98B7F9EC"",""CLOUD_APPLICATION_NAMESPACE-AF16A552F0D35C24"",""CLOUD_APPLICATION_NAMESPACE-6027919A36C5B82D"",""CLOUD_APPLICATION_NAMESPACE-51AC083D1F24B42E"",""CLOUD_APPLICATION_NAMESPACE-E343B5ABD581BD76"",""CLOUD_APPLICATION_NAMESPACE-97FC06E3618FCC4C"",""CLOUD_APPLICATION_NAMESPACE-33989072646FAB88"",""CLOUD_APPLICATION_NAMESPACE-F4A818B691BDC001"",""CLOUD_APPLICATION_NAMESPACE-7D37FBF376660760"",""CLOUD_APPLICATION_NAMESPACE-6E8ABD9197852158"",""CLOUD_APPLICATION_NAMESPACE-96527F6A37B9738F"",""CLOUD_APPLICATION_NAMESPACE-1EA2A9B50801797E"",""CLOUD_APPLICATION_NAMESPACE-A6EDF444263768F3"",""CLOUD_APPLICATION_NAMESPACE-6CCB5D975D2959C7""]",PRD,High
Morpheus Perf 01 APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-07BCE655668CB5A0"",""CLOUD_APPLICATION_NAMESPACE-C59E3386EB868EEB"",""CLOUD_APPLICATION_NAMESPACE-44727FADA56C10A1"",""CLOUD_APPLICATION_NAMESPACE-2D88349D001FC3FE"",""CLOUD_APPLICATION_NAMESPACE-E7CAA11DE3CE78D2"",""CLOUD_APPLICATION_NAMESPACE-CB1765A3FB79CB79"",""CLOUD_APPLICATION_NAMESPACE-93DF6197B29AA565"",""CLOUD_APPLICATION_NAMESPACE-12B43E7B02689E8F"",""CLOUD_APPLICATION_NAMESPACE-707756258FE23A8E"",""CLOUD_APPLICATION_NAMESPACE-A8865ADD6BC9AB0E""]",PRD,null
zPlus PRD 01 COM-4716,"[""CLOUD_APPLICATION_NAMESPACE-6D360AF04215EF24"",""CLOUD_APPLICATION_NAMESPACE-BAD2D1D5A2B78941"",""CLOUD_APPLICATION_NAMESPACE-A79E6D9EECAA4ADA"",""CLOUD_APPLICATION_NAMESPACE-373549A462604302"",""CLOUD_APPLICATION_NAMESPACE-51ABCE0070F6EB8E"",""CLOUD_APPLICATION_NAMESPACE-66CC7D2EDB0FC292"",""CLOUD_APPLICATION_NAMESPACE-6E86563917109D96"",""CLOUD_APPLICATION_NAMESPACE-0FC773925999162D"",""CLOUD_APPLICATION_NAMESPACE-70DB6631A24380D0"",""CLOUD_APPLICATION_NAMESPACE-E07F2C82D303B01A"",""CLOUD_APPLICATION_NAMESPACE-07782D801D291D40"",""CLOUD_APPLICATION_NAMESPACE-2897C8B11A289124"",""CLOUD_APPLICATION_NAMESPACE-26B605AA5BC07E36""]",PRD,High
Doks-zna-containerization-4-0 NP Shared,"[""CLOUD_APPLICATION_NAMESPACE-F53C62633DC5FB88"",""CLOUD_APPLICATION_NAMESPACE-1B840176EF94B5F3"",""CLOUD_APPLICATION_NAMESPACE-7AE4046272C104FB"",""CLOUD_APPLICATION_NAMESPACE-584D82873C8CE83F"",""CLOUD_APPLICATION_NAMESPACE-E31E2B0C33E2C461"",""CLOUD_APPLICATION_NAMESPACE-004B59B5B77C0604"",""CLOUD_APPLICATION_NAMESPACE-1BF4F5CBBD8E8AAD"",""CLOUD_APPLICATION_NAMESPACE-9D58D0B1C52E0ADF"",""CLOUD_APPLICATION_NAMESPACE-102D2DBAC5936B19"",""CLOUD_APPLICATION_NAMESPACE-87420370665781FE"",""CLOUD_APPLICATION_NAMESPACE-EC528778FC7C4CEC"",""CLOUD_APPLICATION_NAMESPACE-B116DF3FD767D16A"",""CLOUD_APPLICATION_NAMESPACE-1A17A911177EE17E"",""CLOUD_APPLICATION_NAMESPACE-30FEA2C53A2E757C"",""CLOUD_APPLICATION_NAMESPACE-88E7F7FB92A028A9"",""CLOUD_APPLICATION_NAMESPACE-0A6946B4CCC83D1A"",""CLOUD_APPLICATION_NAMESPACE-DF9D70845B5AA9CA"",""CLOUD_APPLICATION_NAMESPACE-4CCC492811CB13A5"",""CLOUD_APPLICATION_NAMESPACE-7683DAA85A8225A7"",""CLOUD_APPLICATION_NAMESPACE-3348B3327FC0CEAD"",""CLOUD_APPLICATION_NAMESPACE-99E03151D9045491"",""CLOUD_APPLICATION_NAMESPACE-0DA653BC134F290A"",""CLOUD_APPLICATION_NAMESPACE-1534179DB3AF96B9"",""CLOUD_APPLICATION_NAMESPACE-A06472041B108755"",""CLOUD_APPLICATION_NAMESPACE-0C9430AABA14218B"",""CLOUD_APPLICATION_NAMESPACE-B0E86FB5B41BC47A"",""CLOUD_APPLICATION_NAMESPACE-CFC0DFBF78787742"",""CLOUD_APPLICATION_NAMESPACE-86905C2F47CA094E"",""CLOUD_APPLICATION_NAMESPACE-E937804FE9AE74ED"",""CLOUD_APPLICATION_NAMESPACE-0205FDD76A89BE79"",""CLOUD_APPLICATION_NAMESPACE-9D8D717F23CD4C8E"",""CLOUD_APPLICATION_NAMESPACE-3EB8267D0F82E012"",""CLOUD_APPLICATION_NAMESPACE-DBD4C94A33F3A49E"",""CLOUD_APPLICATION_NAMESPACE-F1C40CEC89894A91"",""CLOUD_APPLICATION_NAMESPACE-CFD5B9F79E1D6E04"",""CLOUD_APPLICATION_NAMESPACE-A46D5AC216D932B0"",""CLOUD_APPLICATION_NAMESPACE-8142C4A3566C9B75"",""CLOUD_APPLICATION_NAMESPACE-E23A03901991C247"",""CLOUD_APPLICATION_NAMESPACE-7A0304AD6261EF8B"",""CLOUD_APPLICATION_NAMESPACE-C90B7A633E59A519"",""CLOUD_APPLICATION_NAMESPACE-047E7DADDAD966CE"",""CLOUD_APPLICATION_NAMESPACE-F42D8C9B9071656C"",""CLOUD_APPLICATION_NAMESPACE-11A9CA8FA5AC1C40"",""CLOUD_APPLICATION_NAMESPACE-AF673FCE06705F8F"",""CLOUD_APPLICATION_NAMESPACE-7469855B350F5674"",""CLOUD_APPLICATION_NAMESPACE-B30812EC737E68F3"",""CLOUD_APPLICATION_NAMESPACE-92C744E11FEAFC04"",""CLOUD_APPLICATION_NAMESPACE-2D94891070009BF7"",""CLOUD_APPLICATION_NAMESPACE-5E7079E5C0CC40A9"",""CLOUD_APPLICATION_NAMESPACE-82E2AD070045FD34"",""CLOUD_APPLICATION_NAMESPACE-B500B61AC94F2781"",""CLOUD_APPLICATION_NAMESPACE-D566065920232CCC"",""CLOUD_APPLICATION_NAMESPACE-13A4B1D68B5643DB"",""CLOUD_APPLICATION_NAMESPACE-2427C8A973A49C75"",""CLOUD_APPLICATION_NAMESPACE-57D8DF3CC879AF81"",""CLOUD_APPLICATION_NAMESPACE-FB812C724E195095"",""CLOUD_APPLICATION_NAMESPACE-F0C1585428DDCCB2"",""CLOUD_APPLICATION_NAMESPACE-8B4BFEE347AA6165"",""CLOUD_APPLICATION_NAMESPACE-9F46B6C7BAAF9B4A"",""CLOUD_APPLICATION_NAMESPACE-61B18829B2094B9A"",""CLOUD_APPLICATION_NAMESPACE-7ACCED0FE9E40CCB"",""CLOUD_APPLICATION_NAMESPACE-EEDC33A61E8DB0BD"",""CLOUD_APPLICATION_NAMESPACE-EF0FBF2A01AADF78"",""CLOUD_APPLICATION_NAMESPACE-6B9C8A45CC99C7B4""]",PRD,High
Morpheus QA 01 APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-04F810438D0C9684"",""CLOUD_APPLICATION_NAMESPACE-84290D21ED0C1A16"",""CLOUD_APPLICATION_NAMESPACE-A1B14CADD32A70A0"",""CLOUD_APPLICATION_NAMESPACE-249A759B6181DDB7"",""CLOUD_APPLICATION_NAMESPACE-19C45CCF6B2B5252"",""CLOUD_APPLICATION_NAMESPACE-69609C2FEDD4584B"",""CLOUD_APPLICATION_NAMESPACE-BAA679DBE38CA8C8"",""CLOUD_APPLICATION_NAMESPACE-714496D853049959"",""CLOUD_APPLICATION_NAMESPACE-8924322A88D0FAFD"",""CLOUD_APPLICATION_NAMESPACE-2384307F6E72C2E5"",""CLOUD_APPLICATION_NAMESPACE-7840B7DE8F025934"",""CLOUD_APPLICATION_NAMESPACE-2A1C3CD432230CAE"",""CLOUD_APPLICATION_NAMESPACE-F8063D367B04D7B8"",""CLOUD_APPLICATION_NAMESPACE-7B3B3F7C445ACDB3""]",PRD,Low
ZAPI DEV COM-6105,"[""CLOUD_APPLICATION_NAMESPACE-D0402FF08A3D627F"",""CLOUD_APPLICATION_NAMESPACE-72C21BEA0B37B940"",""CLOUD_APPLICATION_NAMESPACE-FEBEEA0EE42401C2"",""CLOUD_APPLICATION_NAMESPACE-B422D4E925EDC7F5"",""CLOUD_APPLICATION_NAMESPACE-032D5B90E5E14668"",""CLOUD_APPLICATION_NAMESPACE-787E6E7E12829F5D"",""CLOUD_APPLICATION_NAMESPACE-2D67333D0ACDD7D0"",""CLOUD_APPLICATION_NAMESPACE-1344B620F91F3A7D"",""CLOUD_APPLICATION_NAMESPACE-226A4D902448DEBD"",""CLOUD_APPLICATION_NAMESPACE-CC5108C239C8C516"",""CLOUD_APPLICATION_NAMESPACE-F89F66C77610414F"",""CLOUD_APPLICATION_NAMESPACE-C1FBD495AB5E10B8"",""CLOUD_APPLICATION_NAMESPACE-DE547B4E7A235755""]",PRD,Low
ZCam PRD 01 APP-11579,"[""CLOUD_APPLICATION_NAMESPACE-AFE89800078D9E77"",""CLOUD_APPLICATION_NAMESPACE-B6B926F7A94DE0BD"",""CLOUD_APPLICATION_NAMESPACE-85D305E0A3142FE5"",""CLOUD_APPLICATION_NAMESPACE-63637C6C6B52E106"",""CLOUD_APPLICATION_NAMESPACE-49749BDDFCE8ECD3"",""CLOUD_APPLICATION_NAMESPACE-471E8C0BB982A4C1"",""CLOUD_APPLICATION_NAMESPACE-32E2E363D96B8ADB"",""CLOUD_APPLICATION_NAMESPACE-37C359A253E44CDC"",""CLOUD_APPLICATION_NAMESPACE-F0DB92657C35F7B0"",""CLOUD_APPLICATION_NAMESPACE-2DBBD0A1244A7F9E"",""CLOUD_APPLICATION_NAMESPACE-B3A9AFF628EC4048"",""CLOUD_APPLICATION_NAMESPACE-A2310FEB3BFFFC8F""]",PRD,High
ZAPI QA COM-6105,"[""CLOUD_APPLICATION_NAMESPACE-5ABF763D86C3E8B2"",""CLOUD_APPLICATION_NAMESPACE-D876AC0A393133B0"",""CLOUD_APPLICATION_NAMESPACE-A2F7405859C33D52"",""CLOUD_APPLICATION_NAMESPACE-A78A40EFEB3E439C"",""CLOUD_APPLICATION_NAMESPACE-15ABBC2B53C98FB1"",""CLOUD_APPLICATION_NAMESPACE-6A222530FEA78FA5"",""CLOUD_APPLICATION_NAMESPACE-FF542727B497D998"",""CLOUD_APPLICATION_NAMESPACE-7BFFC7F058F0C5C6"",""CLOUD_APPLICATION_NAMESPACE-A54822B7BD96B401""]",PRD,Low
DDC QA 04 APP-1036,"[""CLOUD_APPLICATION_NAMESPACE-D6C6AFC0A6512A6E"",""CLOUD_APPLICATION_NAMESPACE-BBB474C61351161B"",""CLOUD_APPLICATION_NAMESPACE-C9D3037704A2A683"",""CLOUD_APPLICATION_NAMESPACE-3FB43AFABC4DAA01"",""CLOUD_APPLICATION_NAMESPACE-EC18F2F59297C324"",""CLOUD_APPLICATION_NAMESPACE-2F0AF9812797BE1D"",""CLOUD_APPLICATION_NAMESPACE-6A052C44F7BF5024"",""CLOUD_APPLICATION_NAMESPACE-73E9BAB761F9838D"",""CLOUD_APPLICATION_NAMESPACE-BD607A3E5FF4A0A8"",""CLOUD_APPLICATION_NAMESPACE-F4292B186E849095"",""CLOUD_APPLICATION_NAMESPACE-932F973C3677C94F"",""CLOUD_APPLICATION_NAMESPACE-B0855B935883AFA2"",""CLOUD_APPLICATION_NAMESPACE-5FA798B8B2443894"",""CLOUD_APPLICATION_NAMESPACE-0C87A93AA46EC852"",""CLOUD_APPLICATION_NAMESPACE-E89F275BF1D1ACFF""]",PRD,High
Nordic DEV APP-4120,"[""CLOUD_APPLICATION_NAMESPACE-AEDF800C67AD801A"",""CLOUD_APPLICATION_NAMESPACE-B56519A80CE8D25A"",""CLOUD_APPLICATION_NAMESPACE-1A7A19A29704254C"",""CLOUD_APPLICATION_NAMESPACE-F7393FC14421EDC2"",""CLOUD_APPLICATION_NAMESPACE-7BB096B3B45BF946"",""CLOUD_APPLICATION_NAMESPACE-609FA5F06FD6D3C8"",""CLOUD_APPLICATION_NAMESPACE-8D8C40AFAE3D489F"",""CLOUD_APPLICATION_NAMESPACE-B8A9083EDF7169C7"",""CLOUD_APPLICATION_NAMESPACE-F455846204BFC6E5"",""CLOUD_APPLICATION_NAMESPACE-2348F6F85008B72A"",""CLOUD_APPLICATION_NAMESPACE-FFEC229F8DD53BA6""]",PRD,High
