app,bu,criticality,env,services
"APP-1001","Data Mgmt","High","PRD","[""SERVICE-94BBB0C08F6C0781""]"
"APP-1013","Data Mgmt","High","PRD","[""SERVICE-CC14B77F5AC61DD3"",""SERVICE-477829F3B132C174"",""SERVICE-6C57E8A33212235C"",""SERVICE-CF427B36E2C6E26B"",""SERVICE-CBF0AE9CEE6A90B5"",""SERVICE-BAA89DD1F966F82D"",""SERVICE-A966ACDD146CF97F""]"
"APP-1036","Application Delivery","High","PRD","[""SERVICE-70761517F1BDC01F"",""SERVICE-4DADD038B055C009"",""SERVICE-79FB40086CB8A816"",""SERVICE-C19CF68AAA87A8CB"",""SERVICE-0D3CBBD34359646C"",""SERVICE-6A0BE0F5D7B3B2CC"",""SERVICE-928A9336F907EF2B"",""SERVICE-180409C290383DEA"",""SERVICE-630CE1E56BCF14D9"",""SERVICE-992B205BEC176FCF"",""SERVICE-4EBF7B7A172D3835"",""SERVICE-AAFA2DD0DAE58060"",""SERVICE-75929D94084BB8AE"",""SERVICE-7420252C9F379FBD"",""SERVICE-57D3D8CCF6FE3822"",""SERVICE-972BE1303822F7C5"",""SERVICE-20478E619E92C898"",""SERVICE-F1ECA42A0C7EA229"",""SERVICE-CF6F733700F701E5"",""SERVICE-F5008AA0E1531DC4"",""SERVICE-82CA8CBFC47F851C"",""SERVICE-7D3AE57F2D95D129"",""SERVICE-C089145B9FB234EA"",""SERVICE-269D57285F618926"",""SERVICE-5D69CFA21B25893D"",""SERVICE-2F0C49A7F1BB15AF"",""SERVICE-DEEC2AC351346627"",""SERVICE-31855FDB1FDC74B5"",""SERVICE-013DF9C35B88F937"",""SERVICE-FB27664DB5B5AAEE"",""SERVICE-1DF06BDE68D91DC1"",""SERVICE-4B820BEFF9E2F66E"",""SERVICE-EDA0FD490B346FAD"",""SERVICE-A3FB5F92A3E17338"",""SERVICE-3956C45E554DCEBD"",""SERVICE-F780C4EEB2B596E7"",""SERVICE-E8D5A1AF07A36417"",""SERVICE-706380B655B36BD1"",""SERVICE-C28947A639D2DFA1""]"
"APP-10362","Adv Tech & Ent Sol","High","PRD","[""SERVICE-00EB53005F8733C7"",""SERVICE-EF098F4E759C791F""]"
"APP-10385","IT Infrastructure & Operations","Low","PRD","[""SERVICE-E782D1F8D89C57D1"",""SERVICE-FD63C0CDC24462BB"",""SERVICE-FCD830C783EEAC9F"",""SERVICE-E1F5C4D07FBFD091""]"
"APP-1049","Application Delivery","High","PRD","[""SERVICE-1C07BC985A4B8556"",""SERVICE-9E08FB689C91EF26"",""SERVICE-2FB3CA9EF4445B65"",""SERVICE-C88577946500E880"",""SERVICE-42EA53933FF1994D"",""SERVICE-CE1110889FA59E4D"",""SERVICE-DA99CE09C71E07E9"",""SERVICE-667BB580BD399E90"",""SERVICE-1B05A41BB75B3016"",""SERVICE-49724EF4E9C6F137"",""SERVICE-8A138F2CA64A5B50"",""SERVICE-99067DE7415714DB"",""SERVICE-1E8DF536EA96226C"",""SERVICE-3F67133DDC99175B"",""SERVICE-7DAB477A95727742"",""SERVICE-C1C843DA91C63A19"",""SERVICE-2247C34C4FF4CD56"",""SERVICE-196D8474269B9359""]"
"APP-1054","Application Delivery","High","PRD","[""SERVICE-9160100D795AAB63"",""SERVICE-F93498C5DEC7C17C"",""SERVICE-8F7FBB3DE9294327"",""SERVICE-8AE87CD797D32FEA"",""SERVICE-3DB3129EC069432E"",""SERVICE-136CED9798D8CC48"",""SERVICE-9B0885A6B46A9801"",""SERVICE-2BE8961D988DDF63"",""SERVICE-27234F359812A28D"",""SERVICE-75DF11B59242A435"",""SERVICE-0FE28EAE1B762A30"",""SERVICE-751D9E8C12F2EA33"",""SERVICE-991DE1FC2C498E40"",""SERVICE-FE5B013367A6C286"",""SERVICE-539E9BC9C641B463"",""SERVICE-A0C8AC0C01F57241"",""SERVICE-676269913FBA2C1E"",""SERVICE-16294C984B6F6859"",""SERVICE-C412335EBED75A8D"",""SERVICE-08F4C665F2736C7A"",""SERVICE-FA9666F2C2E7211C"",""SERVICE-DCC167BE80150228"",""SERVICE-729E6360A4E2B9A4"",""SERVICE-2801E3600EE9898D"",""SERVICE-214BE5E9FA263832"",""SERVICE-CAD8080DE0A26407"",""SERVICE-3E1D6ABE07498A14"",""SERVICE-08A4F03580A17F9A"",""SERVICE-7B7BCF0D69015508"",""SERVICE-99BF4BAC550FE031"",""SERVICE-179819E203F42A3D"",""SERVICE-CBB454BF8DEA12D6"",""SERVICE-6865DFB363A52E14"",""SERVICE-DA5A7F5580BD9F17"",""SERVICE-5789F394841CCB0C"",""SERVICE-B43F85FFCB4E1E1E"",""SERVICE-32CF44216BFA1095"",""SERVICE-325761250FBE9928"",""SERVICE-6E0D64C50CB9EA17"",""SERVICE-E503A880D5CFD4F3"",""SERVICE-DEF114698DC7AA4C"",""SERVICE-907D89B44962FF06"",""SERVICE-4DA98300D97221FC"",""SERVICE-C6BA465EF33BA722"",""SERVICE-76915B1DAF5E6E4F"",""SERVICE-042117AF634A192C"",""SERVICE-FED23D6573F03843"",""SERVICE-C2CBD81653CA478D"",""SERVICE-2733CAB77ECA93FA""]"
"APP-10592","IT Infrastructure & Operations","Low","PRD","[""SERVICE-2E33A6E3C92B3F7A"",""SERVICE-6227640722AB30BD"",""SERVICE-5E7C346D07F84577"",""SERVICE-8AA8335F6E4927E6"",""SERVICE-4CA3D46F67E58144"",""SERVICE-D1CA019D647CD02F"",""SERVICE-832CCE55D878E7C3"",""SERVICE-4905E90784525FF1"",""SERVICE-23E95D270A15E493"",""SERVICE-1235ACA4D6384482"",""SERVICE-962E702B08685092"",""SERVICE-4CDFB9C2E012D547"",""SERVICE-7FB06524CF19249D""]"
"APP-10594","Data Analytics Engineering","High","PRD","[""SERVICE-136905A5D1DE50F5"",""SERVICE-C613FD86B8E112F0"",""SERVICE-91D8DDA18B82F65E"",""SERVICE-8444C7AE612C1E53"",""SERVICE-8ABAC2EA7325D29F"",""SERVICE-62A13220F001D8F6"",""SERVICE-E0C6660F3A6B1455"",""SERVICE-7CE4DAA904265E96"",""SERVICE-B5F0FAC7AA721336"",""SERVICE-71B13E15A6A5CF86"",""SERVICE-14F1DBDF8454B52B"",""SERVICE-F48FA0F2B8889A61"",""SERVICE-43CFC7A7D828A447"",""SERVICE-0E8AECB32261B612"",""SERVICE-9F850ADA8D8A9BAE"",""SERVICE-E91B88A0CF68EF32"",""SERVICE-DD6B89DEAF867026"",""SERVICE-A33BBCD35634E820"",""SERVICE-3764D35640B98560"",""SERVICE-C62E11E33FCBD0B9"",""SERVICE-88B23CF2191BC0AA"",""SERVICE-21C600F4913C9DFF"",""SERVICE-1BCF71CAB92D3CFB"",""SERVICE-65261988E025EBB4"",""SERVICE-77DC9D9A9EE49568"",""SERVICE-C317BE3F0199AC48""]"
"APP-10595","Application Delivery","High","PRD","[""SERVICE-E4F3C6AC5C826100"",""SERVICE-DD8B767BB864ADFF"",""SERVICE-84F49DD9D129A057""]"
"APP-10700","Application Delivery","High","PRD","[""SERVICE-5C9AF46F57F3D5DF"",""SERVICE-B0A16F87CEB9ED82""]"
"APP-1079","Data Mgmt","High","PRD","[""SERVICE-DA7D86818D040EA6"",""SERVICE-94C34D9008FF666C""]"
"APP-1095","Application Delivery","High","PRD","[""SERVICE-C2DE430DA78622FF""]"
